time,high,Currency,Coin,low,open,volumefrom,volumeto,close,conversionType,timestamp_date,timestamp_Year
1604534400,420.74,USD,ETH,397.1,402.66,257653.91,105310367.9,416.89,direct,2020-11-05,2020
1604620800,458.22,USD,ETH,415.41,416.89,374046.51,164108426.67,456.32,direct,2020-11-06,2020
1604707200,468.04,USD,ETH,426.27,456.32,353304.45,158253714.77,435.82,direct,2020-11-07,2020
1604793600,460.03,USD,ETH,432.87,435.82,169586.34,75984233.86,454.74,direct,2020-11-08,2020
1604880000,458.75,USD,ETH,434.54,454.74,230777.2,103452706.39,444.45,direct,2020-11-09,2020
1604966400,455.07,USD,ETH,439.44,444.45,206511.07,92709328.95,450.86,direct,2020-11-10,2020
1605052800,476.65,USD,ETH,449.95,450.86,507733.44,236182074.76,463.91,direct,2020-11-11,2020
1605139200,470.4,USD,ETH,452.69,463.91,419454.5,193184163.08,462.78,direct,2020-11-12,2020
1605225600,477.97,USD,ETH,458.1,462.78,408493.75,191393679.41,476.87,direct,2020-11-13,2020
1605312000,477.76,USD,ETH,452.26,476.87,303539.72,140465129.76,461.03,direct,2020-11-14,2020
1605398400,463.02,USD,ETH,440.46,461.03,256400.31,115840989.63,448.51,direct,2020-11-15,2020
1605484800,471.55,USD,ETH,458.84,448.45,662300.65,305327654.61,461.01,multiply,2020-11-16,2020
1605571200,495.61,USD,ETH,475.46,461.01,1029579.0,496984004.02,482.71,multiply,2020-11-17,2020
1605657600,495.03,USD,ETH,458.58,482.73,699555.59,334999694.91,478.76,direct,2020-11-18,2020
1605744000,482.16,USD,ETH,468.97,478.81,887917.88,418935834.36,471.82,multiply,2020-11-19,2020
1605830400,514.38,USD,ETH,471.19,471.89,759082.86,379278054.3,510.43,direct,2020-11-20,2020
1605916800,553.11,USD,ETH,503.09,510.43,741748.0,392076756.29,552.26,direct,2020-11-21,2020
1606003200,581.05,USD,ETH,513.33,552.26,964066.75,530834818.6,560.01,direct,2020-11-22,2020
1606089600,610.75,USD,ETH,550.31,560.01,1068086.27,628512665.29,609.13,direct,2020-11-23,2020
1606176000,645.6,USD,ETH,590.23,609.12,2001953.72,1211148193.21,604.98,multiply,2020-11-24,2020
1606262400,606.1,USD,ETH,554.92,605.05,688409.44,404296921.42,569.4,direct,2020-11-25,2020
1606348800,576.94,USD,ETH,482.39,569.4,1576644.23,810828523.33,520.22,direct,2020-11-26,2020
1606435200,531.01,USD,ETH,494.78,520.22,648018.44,332244579.12,518.83,direct,2020-11-27,2020
1606521600,548.25,USD,ETH,507.33,518.83,469956.47,248369034.48,537.99,direct,2020-11-28,2020
1606608000,576.77,USD,ETH,531.08,537.99,419301.11,231983170.72,576.0,direct,2020-11-29,2020
