time,high,low,open,volumefrom,volumeto,close,conversionType,Datetime,Year
1483747200,900.86,806.66,886.16,130663.09,113037531.71,888.87,direct,2017-01-07,2017
1483833600,936.13,875.85,888.87,76905.99,70298340.37,900.86,direct,2017-01-08,2017
1483920000,910.47,870.91,900.86,62579.5,55963281.18,899.78,direct,2017-01-09,2017
1484006400,911.32,890.12,899.78,53709.46,48644106.82,904.37,direct,2017-01-10,2017
1484092800,917.65,751.63,904.37,194436.54,160194109.8,785.43,direct,2017-01-11,2017
1484179200,828.21,739.55,785.43,120241.76,93986701.88,810.11,direct,2017-01-12,2017
1484265600,835.05,771.0,810.11,89861.97,72555875.62,824.83,direct,2017-01-13,2017
1484352000,838.9,808.27,824.83,44207.74,36594482.0,819.63,direct,2017-01-14,2017
1484438400,826.43,808.63,819.63,24401.41,20004735.1,821.17,direct,2017-01-15,2017
1484524800,836.66,817.7,821.17,33222.93,27592899.17,827.34,direct,2017-01-16,2017
1484611200,906.38,825.04,827.34,82207.99,72272727.15,899.66,direct,2017-01-17,2017
1484697600,913.67,845.87,899.66,69258.17,61042392.11,872.03,direct,2017-01-18,2017
1484784000,905.28,870.71,872.03,58440.87,52300814.98,895.21,direct,2017-01-19,2017
1484870400,901.49,878.9,895.21,38865.48,34847130.33,892.91,direct,2017-01-20,2017
1484956800,928.93,889.46,892.91,40378.21,37129176.59,919.84,direct,2017-01-21,2017
1485043200,938.38,888.62,919.84,47927.32,44074299.79,918.84,direct,2017-01-22,2017
1485129600,927.98,910.85,918.84,32744.43,30261054.5,921.46,direct,2017-01-23,2017
1485216000,925.61,889.15,921.46,58874.32,53468911.31,893.75,direct,2017-01-24,2017
1485302400,905.7,883.63,893.75,37902.18,34014866.15,894.41,direct,2017-01-25,2017
1485388800,919.32,893.49,894.41,33800.2,30795685.98,915.56,direct,2017-01-26,2017
1485475200,922.56,907.92,915.56,30968.49,28503144.41,918.01,direct,2017-01-27,2017
1485561600,921.89,912.84,918.01,14307.36,13251844.02,918.51,direct,2017-01-28,2017
1485648000,922.4,912.68,918.51,11052.31,10214368.33,914.55,direct,2017-01-29,2017
1485734400,922.35,911.51,914.55,19062.15,17604172.47,920.73,direct,2017-01-30,2017
1485820800,967.45,917.38,920.73,54670.21,51869216.53,965.49,direct,2017-01-31,2017
1485907200,986.57,959.82,965.49,45223.3,44035816.37,982.43,direct,2017-02-01,2017
1485993600,1009.13,973.5,982.43,50863.87,50633910.56,1003.97,direct,2017-02-02,2017
1486080000,1023.72,989.21,1003.97,61671.88,62431017.97,1013.02,direct,2017-02-03,2017
1486166400,1041.04,1000.41,1013.02,39461.62,40406542.54,1031.85,direct,2017-02-04,2017
1486252800,1033.66,1004.05,1031.85,31058.49,31669956.98,1016.11,direct,2017-02-05,2017
1486339200,1030.6,1010.83,1016.11,32019.82,32828350.27,1024.67,direct,2017-02-06,2017
1486425600,1054.1,1019.87,1024.67,39553.25,41318349.43,1049.56,direct,2017-02-07,2017
1486512000,1069.23,1020.33,1049.56,65145.12,68336320.22,1055.49,direct,2017-02-08,2017
1486598400,1073.03,924.65,1055.49,146746.26,145839317.48,978.96,direct,2017-02-09,2017
1486684800,1005.6,947.02,978.96,62132.99,60639111.4,997.61,direct,2017-02-10,2017
1486771200,1014.32,983.93,997.61,28319.39,28504495.1,1008.32,direct,2017-02-11,2017
1486857600,1007.82,992.45,1008.32,14750.39,14825023.07,996.52,direct,2017-02-12,2017
1486944000,1007.61,975.1,996.52,32908.63,32785064.4,995.36,direct,2017-02-13,2017
1487030400,1013.8,986.46,995.36,39537.9,39810076.3,1008.34,direct,2017-02-14,2017
1487116800,1010.93,999.73,1008.34,23359.15,23569549.45,1008.19,direct,2017-02-15,2017
1487203200,1040.28,1007.39,1008.19,38080.21,39114743.32,1031.93,direct,2017-02-16,2017
1487289600,1057.39,1025.87,1031.93,45711.79,47815360.54,1049.41,direct,2017-02-17,2017
